Member_number,Date,itemDescription
3633,2015-07-14,coffee
3633,2015-07-14,pastry
3633,2015-07-14,brown bread
3633,2015-07-14,brown bread
3633,2015-07-14,napkins
3633,2015-07-14,napkins
4009,2015-07-14,tropical fruit
4009,2015-07-14,whole milk
4009,2015-07-14,dish cleaner
4009,2015-07-14,yogurt
4009,2015-07-14,newspapers
4063,2015-07-14,whole milk
4063,2015-07-14,sausage
4063,2015-07-14,pastry
4063,2015-07-14,spices
4063,2015-07-14,soda
4600,2015-07-14,beef
4600,2015-07-14,salty snack
4600,2015-07-14,whole milk
4600,2015-07-14,domestic eggs
4600,2015-07-14,fruit/vegetable juice
4600,2015-07-14,whipped/sour cream
4600,2015-07-14,cat food
4658,2015-07-14,sausage
4658,2015-07-14,pastry
4658,2015-07-14,dish cleaner
4804,2015-07-14,whole milk
4804,2015-07-14,sliced cheese
1368,2015-07-15,beef
1368,2015-07-15,soft cheese
1785,2015-07-15,butter
1785,2015-07-15,canned beer
1785,2015-07-15,brown bread
1785,2015-07-15,canned beer
1939,2015-07-15,tropical fruit
1939,2015-07-15,whole milk
1939,2015-07-15,long life bakery product
2234,2015-07-15,citrus fruit
2234,2015-07-15,beverages
2329,2015-07-15,pastry
2329,2015-07-15,whipped/sour cream
2509,2015-07-15,hamburger meat
2509,2015-07-15,rolls/buns
2721,2015-07-15,yogurt
2721,2015-07-15,butter
2770,2015-07-15,yogurt
2770,2015-07-15,coffee
2770,2015-07-15,coffee
2873,2015-07-15,photo/film
2873,2015-07-15,liquor (appetizer)
3014,2015-07-15,whipped/sour cream
3014,2015-07-15,berries
3014,2015-07-15,cream cheese
3710,2015-07-15,whole milk
3710,2015-07-15,yogurt
3738,2015-07-15,other vegetables
3738,2015-07-15,rolls/buns
4102,2015-07-15,fish
4102,2015-07-15,whole milk
4671,2015-07-15,frankfurter
4671,2015-07-15,instant coffee
4671,2015-07-15,root vegetables
4671,2015-07-15,coffee
4671,2015-07-15,instant coffee
4671,2015-07-15,sugar
4671,2015-07-15,rolls/buns
4850,2015-07-15,other vegetables
4850,2015-07-15,packaged fruit/vegetables
1275,2015-07-16,other vegetables
1275,2015-07-16,whole milk
2070,2015-07-16,frankfurter
2070,2015-07-16,oil
2070,2015-07-16,soda
2151,2015-07-16,beef
2151,2015-07-16,other vegetables
2204,2015-07-16,pork
2204,2015-07-16,detergent
2204,2015-07-16,bottled beer
2326,2015-07-16,citrus fruit
2326,2015-07-16,whole milk
2326,2015-07-16,UHT-milk
2569,2015-07-16,cream cheese
2569,2015-07-16,yogurt
2569,2015-07-16,whipped/sour cream
2813,2015-07-16,coffee
2813,2015-07-16,tidbits
2867,2015-07-16,turkey
2867,2015-07-16,soft cheese
2867,2015-07-16,other vegetables
2867,2015-07-16,canned beer
2947,2015-07-16,sausage
2947,2015-07-16,yogurt
3687,2015-07-16,pork
3687,2015-07-16,citrus fruit
3687,2015-07-16,chocolate marshmallow
3687,2015-07-16,white bread
3687,2015-07-16,whipped/sour cream
4376,2015-07-16,whole milk
4376,2015-07-16,rolls/buns
4376,2015-07-16,jam
4376,2015-07-16,red/blush wine
4554,2015-07-16,tropical fruit
4554,2015-07-16,citrus fruit
4554,2015-07-16,male cosmetics
4585,2015-07-16,oil
4585,2015-07-16,whipped/sour cream
4585,2015-07-16,specialty cheese
4585,2015-07-16,soda
4585,2015-07-16,beverages
4774,2015-07-16,red/blush wine
4774,2015-07-16,pip fruit
2041,2015-07-17,detergent
2041,2015-07-17,liquor (appetizer)
2159,2015-07-17,ham
2159,2015-07-17,white bread
2349,2015-07-17,ice cream
2349,2015-07-17,bottled beer
2435,2015-07-17,onions
2435,2015-07-17,onions
2571,2015-07-17,frankfurter
2571,2015-07-17,sugar
2622,2015-07-17,pip fruit
2622,2015-07-17,other vegetables
2622,2015-07-17,hard cheese
2622,2015-07-17,sausage
2622,2015-07-17,rolls/buns
2622,2015-07-17,pip fruit
2622,2015-07-17,grapes
2622,2015-07-17,other vegetables
2736,2015-07-17,meat
2736,2015-07-17,beef
2736,2015-07-17,curd
2814,2015-07-17,newspapers
2814,2015-07-17,hamburger meat
2814,2015-07-17,whole milk
2814,2015-07-17,specialty cheese
2979,2015-07-17,sausage
2979,2015-07-17,sliced cheese
2979,2015-07-17,ice cream
2979,2015-07-17,long life bakery product
3067,2015-07-17,butter milk
3067,2015-07-17,packaged fruit/vegetables
3308,2015-07-17,rolls/buns
3308,2015-07-17,soda
3521,2015-07-17,yogurt
3521,2015-07-17,whole milk
3650,2015-07-17,other vegetables
3650,2015-07-17,curd
3650,2015-07-17,beef
3650,2015-07-17,white bread
3832,2015-07-17,frankfurter
3832,2015-07-17,frankfurter
3832,2015-07-17,whole milk
3832,2015-07-17,canned fish
4234,2015-07-17,whole milk
4234,2015-07-17,domestic eggs
4234,2015-07-17,canned vegetables
4234,2015-07-17,baking powder
4234,2015-07-17,hygiene articles
4234,2015-07-17,detergent
4295,2015-07-17,ham
4295,2015-07-17,butter milk
4932,2015-07-17,UHT-milk
4932,2015-07-17,beverages
4976,2015-07-17,bottled water
4976,2015-07-17,frankfurter
4976,2015-07-17,tropical fruit
4976,2015-07-17,liquor
4976,2015-07-17,specialty chocolate
1459,2015-07-18,citrus fruit
1459,2015-07-18,whole milk
1459,2015-07-18,curd
1459,2015-07-18,chocolate marshmallow
1727,2015-07-18,citrus fruit
1727,2015-07-18,beef
2118,2015-07-18,fish
2118,2015-07-18,pot plants
2118,2015-07-18,coffee
2370,2015-07-18,specialty chocolate
2370,2015-07-18,pastry
2431,2015-07-18,chicken
2431,2015-07-18,shopping bags
2794,2015-07-18,ham
2794,2015-07-18,whole milk
2868,2015-07-18,waffles
2868,2015-07-18,pip fruit
2868,2015-07-18,whole milk
2868,2015-07-18,beef
2868,2015-07-18,yogurt
3099,2015-07-18,pip fruit
3099,2015-07-18,whole milk
3732,2015-07-18,nuts/prunes
3732,2015-07-18,root vegetables
3732,2015-07-18,white wine
3732,2015-07-18,pastry
3776,2015-07-18,coffee
3776,2015-07-18,soda
3928,2015-07-18,butter milk
3928,2015-07-18,soda
3928,2015-07-18,ham
3928,2015-07-18,bottled beer
3928,2015-07-18,detergent
4258,2015-07-18,frankfurter
4258,2015-07-18,chocolate
4964,2015-07-18,frankfurter
4964,2015-07-18,yogurt
1016,2015-07-19,chicken
1016,2015-07-19,red/blush wine
1152,2015-07-19,pork
1152,2015-07-19,domestic eggs
1279,2015-07-19,root vegetables
1279,2015-07-19,ham
1373,2015-07-19,curd
1373,2015-07-19,grapes
1373,2015-07-19,soups
1373,2015-07-19,whole milk
1456,2015-07-19,whole milk
1456,2015-07-19,whole milk
1456,2015-07-19,domestic eggs
1846,2015-07-19,rolls/buns
1846,2015-07-19,oil
1907,2015-07-19,sausage
1907,2015-07-19,newspapers
1907,2015-07-19,cream
2079,2015-07-19,curd
2079,2015-07-19,whole milk
2079,2015-07-19,pet care
2148,2015-07-19,newspapers
2148,2015-07-19,hard cheese
2464,2015-07-19,beef
2464,2015-07-19,other vegetables
2685,2015-07-19,frankfurter
2685,2015-07-19,other vegetables
2910,2015-07-19,citrus fruit
2910,2015-07-19,yogurt
2918,2015-07-19,sausage
2918,2015-07-19,bathroom cleaner
2945,2015-07-19,chicken
2945,2015-07-19,pastry
2945,2015-07-19,waffles
3141,2015-07-19,pork
3141,2015-07-19,rolls/buns
3399,2015-07-19,sausage
3399,2015-07-19,tropical fruit
3399,2015-07-19,yogurt
3399,2015-07-19,rolls/buns
3399,2015-07-19,margarine
3399,2015-07-19,shopping bags
3841,2015-07-19,berries
3841,2015-07-19,pork
3841,2015-07-19,whole milk
3841,2015-07-19,frozen vegetables
3841,2015-07-19,domestic eggs
3997,2015-07-19,curd cheese
3997,2015-07-19,mustard
3997,2015-07-19,bottled water
4113,2015-07-19,tropical fruit
4113,2015-07-19,bottled beer
4223,2015-07-19,citrus fruit
4223,2015-07-19,bottled water
4610,2015-07-19,pip fruit
4610,2015-07-19,newspapers
4610,2015-07-19,chocolate
4667,2015-07-19,frankfurter
4667,2015-07-19,condensed milk
4685,2015-07-19,berries
4685,2015-07-19,whole milk
4685,2015-07-19,sugar
1067,2015-07-20,rolls/buns
1067,2015-07-20,tropical fruit
1067,2015-07-20,coffee
1067,2015-07-20,chocolate
1075,2015-07-20,frankfurter
1075,2015-07-20,frozen meals
1075,2015-07-20,dishes
1431,2015-07-20,yogurt
1431,2015-07-20,domestic eggs
1705,2015-07-20,white bread
1705,2015-07-20,cream cheese
2209,2015-07-20,cat food
2209,2015-07-20,tropical fruit
2209,2015-07-20,onions
2209,2015-07-20,tidbits
2553,2015-07-20,chicken
2553,2015-07-20,organic products
3557,2015-07-20,ham
3557,2015-07-20,chocolate marshmallow
3591,2015-07-20,frankfurter
3591,2015-07-20,newspapers
3662,2015-07-20,whole milk
3662,2015-07-20,rolls/buns
3892,2015-07-20,frozen chicken
3892,2015-07-20,herbs
3892,2015-07-20,yogurt
3983,2015-07-20,chicken
3983,2015-07-20,butter milk
3983,2015-07-20,sugar
4223,2015-07-20,root vegetables
4223,2015-07-20,other vegetables
4254,2015-07-20,root vegetables
4254,2015-07-20,white wine
4352,2015-07-20,pork
4352,2015-07-20,frozen meals
4352,2015-07-20,margarine
4352,2015-07-20,dessert
4487,2015-07-20,onions
4487,2015-07-20,onions
4518,2015-07-20,yogurt
4518,2015-07-20,rice
4518,2015-07-20,butter
4792,2015-07-20,turkey
4792,2015-07-20,UHT-milk
1008,2015-07-21,tropical fruit
1008,2015-07-21,soda
1008,2015-07-21,yogurt
1008,2015-07-21,root vegetables
1008,2015-07-21,yogurt
1008,2015-07-21,domestic eggs
1008,2015-07-21,white wine
1008,2015-07-21,photo/film
1285,2015-07-21,yogurt
1285,2015-07-21,hygiene articles
1345,2015-07-21,frankfurter
1345,2015-07-21,grapes
1345,2015-07-21,salt
1345,2015-07-21,napkins
1345,2015-07-21,soda
1551,2015-07-21,dessert
1551,2015-07-21,curd
1553,2015-07-21,other vegetables
1553,2015-07-21,sliced cheese
1808,2015-07-21,tropical fruit
1808,2015-07-21,rolls/buns
1808,2015-07-21,candy
1997,2015-07-21,frankfurter
1997,2015-07-21,soda
1997,2015-07-21,canned beer
1997,2015-07-21,white bread
1997,2015-07-21,brown bread
2222,2015-07-21,berries
2222,2015-07-21,other vegetables
2222,2015-07-21,butter
2222,2015-07-21,newspapers
2253,2015-07-21,frankfurter
2253,2015-07-21,white bread
2769,2015-07-21,sparkling wine
2769,2015-07-21,canned beer
2961,2015-07-21,soda
2961,2015-07-21,canned beer
2961,2015-07-21,white bread
2961,2015-07-21,berries
3128,2015-07-21,dessert
3128,2015-07-21,newspapers
3128,2015-07-21,bottled water
3215,2015-07-21,whipped/sour cream
3215,2015-07-21,canned beer
3215,2015-07-21,sliced cheese
3318,2015-07-21,other vegetables
3318,2015-07-21,curd
3500,2015-07-21,pip fruit
3500,2015-07-21,misc. beverages
3505,2015-07-21,soda
3505,2015-07-21,other vegetables
3505,2015-07-21,white bread
3585,2015-07-21,citrus fruit
3585,2015-07-21,other vegetables
3812,2015-07-21,sausage
3812,2015-07-21,sausage
3814,2015-07-21,citrus fruit
3814,2015-07-21,canned beer
3814,2015-07-21,hygiene articles
3814,2015-07-21,chicken
3814,2015-07-21,whole milk
3814,2015-07-21,napkins
3814,2015-07-21,white wine
3814,2015-07-21,UHT-milk
3814,2015-07-21,shopping bags
4108,2015-07-21,bottled water
4108,2015-07-21,root vegetables
4108,2015-07-21,rolls/buns
4108,2015-07-21,whole milk
4108,2015-07-21,coffee
4328,2015-07-21,citrus fruit
4328,2015-07-21,beef
4328,2015-07-21,tropical fruit
4328,2015-07-21,curd
4429,2015-07-21,grapes
4429,2015-07-21,rolls/buns
4429,2015-07-21,pot plants
4486,2015-07-21,canned beer
4486,2015-07-21,hygiene articles
4486,2015-07-21,pork
4486,2015-07-21,soft cheese
4486,2015-07-21,bottled beer
4486,2015-07-21,rolls/buns
4486,2015-07-21,chocolate marshmallow
4736,2015-07-21,butter
4736,2015-07-21,other vegetables
4736,2015-07-21,soda
4736,2015-07-21,yogurt
4736,2015-07-21,UHT-milk
4895,2015-07-21,sugar
4895,2015-07-21,whole milk
4895,2015-07-21,pastry
4895,2015-07-21,salty snack
1202,2015-07-22,soda
1202,2015-07-22,curd cheese
1202,2015-07-22,root vegetables
1202,2015-07-22,semi-finished bread
1396,2015-07-22,tropical fruit
1396,2015-07-22,pork
1396,2015-07-22,coffee
1396,2015-07-22,canned beer
1396,2015-07-22,shopping bags
1396,2015-07-22,chocolate
1698,2015-07-22,other vegetables
1698,2015-07-22,yogurt
1698,2015-07-22,brown bread
1949,2015-07-22,canned beer
1949,2015-07-22,soda
1949,2015-07-22,frozen vegetables
2022,2015-07-22,sausage
2022,2015-07-22,beef
2022,2015-07-22,white wine
2022,2015-07-22,other vegetables
2215,2015-07-22,salty snack
2215,2015-07-22,frozen vegetables
2515,2015-07-22,frankfurter
2515,2015-07-22,shopping bags
2515,2015-07-22,rolls/buns
2568,2015-07-22,pork
2568,2015-07-22,tropical fruit
2733,2015-07-22,yogurt
2733,2015-07-22,yogurt
2765,2015-07-22,beef
2765,2015-07-22,waffles
2765,2015-07-22,domestic eggs
3361,2015-07-22,chocolate
3361,2015-07-22,beef
3485,2015-07-22,rolls/buns
3485,2015-07-22,tropical fruit
3507,2015-07-22,other vegetables
3507,2015-07-22,pastry
3756,2015-07-22,soda
3756,2015-07-22,bottled water
4376,2015-07-22,chicken
4376,2015-07-22,soda
4405,2015-07-22,frankfurter
4405,2015-07-22,curd cheese
4405,2015-07-22,chocolate
4405,2015-07-22,pastry
4405,2015-07-22,soda
4411,2015-07-22,ham
4411,2015-07-22,curd
4444,2015-07-22,sausage
4444,2015-07-22,rolls/buns
4444,2015-07-22,UHT-milk
4444,2015-07-22,onions
4601,2015-07-22,pork
4601,2015-07-22,rolls/buns
4695,2015-07-22,yogurt
4695,2015-07-22,margarine
4695,2015-07-22,newspapers
4864,2015-07-22,canned beer
4864,2015-07-22,rolls/buns
1116,2015-07-23,chicken
1116,2015-07-23,bottled water
1204,2015-07-23,sliced cheese
1204,2015-07-23,pip fruit
1295,2015-07-23,frankfurter
1295,2015-07-23,chicken
1295,2015-07-23,processed cheese
1295,2015-07-23,dessert
1408,2015-07-23,root vegetables
1408,2015-07-23,whole milk
1408,2015-07-23,soda
1603,2015-07-23,canned beer
1603,2015-07-23,white bread
1724,2015-07-23,whole milk
1724,2015-07-23,canned beer
1729,2015-07-23,frankfurter
1729,2015-07-23,rolls/buns
1729,2015-07-23,newspapers
1729,2015-07-23,waffles
1969,2015-07-23,sausage
1969,2015-07-23,citrus fruit
2051,2015-07-23,other vegetables
2051,2015-07-23,beverages
2051,2015-07-23,fruit/vegetable juice
2051,2015-07-23,prosecco
2051,2015-07-23,other vegetables
2051,2015-07-23,ice cream
2051,2015-07-23,soda
2051,2015-07-23,root vegetables
2152,2015-07-23,butter
2152,2015-07-23,fruit/vegetable juice
2335,2015-07-23,soda
2335,2015-07-23,tropical fruit
2475,2015-07-23,tropical fruit
2475,2015-07-23,napkins
2729,2015-07-23,hamburger meat
2729,2015-07-23,cream cheese
2879,2015-07-23,liver loaf
2879,2015-07-23,whipped/sour cream
3554,2015-07-23,citrus fruit
3554,2015-07-23,root vegetables
3635,2015-07-23,beef
3635,2015-07-23,chocolate
3635,2015-07-23,pastry
3978,2015-07-23,sausage
3978,2015-07-23,beef
3986,2015-07-23,coffee
3986,2015-07-23,bottled water
4509,2015-07-23,sausage
4509,2015-07-23,bottled water
4555,2015-07-23,tropical fruit
4555,2015-07-23,pip fruit
4555,2015-07-23,whole milk
4555,2015-07-23,other vegetables
4820,2015-07-23,whole milk
4820,2015-07-23,domestic eggs
4820,2015-07-23,syrup
4970,2015-07-23,berries
4970,2015-07-23,sliced cheese
1000,2015-07-24,canned beer
1000,2015-07-24,misc. beverages
1482,2015-07-24,bottled beer
1482,2015-07-24,sausage
1482,2015-07-24,cream cheese
1482,2015-07-24,frozen vegetables
1785,2015-07-24,ham
1785,2015-07-24,berries
1833,2015-07-24,frozen chicken
1833,2015-07-24,dessert
1844,2015-07-24,UHT-milk
1844,2015-07-24,pip fruit
1844,2015-07-24,specialty chocolate
1844,2015-07-24,chewing gum
1844,2015-07-24,canned fruit
2355,2015-07-24,tropical fruit
2355,2015-07-24,bottled beer
2764,2015-07-24,other vegetables
2764,2015-07-24,curd
3460,2015-07-24,pork
3460,2015-07-24,root vegetables
3460,2015-07-24,root vegetables
3460,2015-07-24,curd
3460,2015-07-24,canned vegetables
3460,2015-07-24,cream cheese
3460,2015-07-24,fruit/vegetable juice
3460,2015-07-24,nut snack
3551,2015-07-24,pork
3551,2015-07-24,pastry
3630,2015-07-24,hard cheese
3630,2015-07-24,curd
3764,2015-07-24,frozen potato products
3764,2015-07-24,margarine
3878,2015-07-24,citrus fruit
3878,2015-07-24,rolls/buns
3985,2015-07-24,liver loaf
3985,2015-07-24,canned beer
3985,2015-07-24,candy
4019,2015-07-24,rolls/buns
4019,2015-07-24,margarine
4019,2015-07-24,domestic eggs
4305,2015-07-24,pastry
4305,2015-07-24,coffee
4305,2015-07-24,newspapers
1064,2015-07-25,long life bakery product
1064,2015-07-25,root vegetables
1064,2015-07-25,other vegetables
1239,2015-07-25,finished products
1239,2015-07-25,yogurt
1239,2015-07-25,bottled beer
1239,2015-07-25,bottled water
1442,2015-07-25,pastry
1442,2015-07-25,onions
1503,2015-07-25,chicken
1503,2015-07-25,finished products
1503,2015-07-25,meat
1503,2015-07-25,fruit/vegetable juice
1561,2015-07-25,whole milk
1561,2015-07-25,domestic eggs
1561,2015-07-25,long life bakery product
2143,2015-07-25,canned beer
2143,2015-07-25,tropical fruit
2143,2015-07-25,pet care
2738,2015-07-25,other vegetables
2738,2015-07-25,rolls/buns
3173,2015-07-25,whipped/sour cream
3173,2015-07-25,root vegetables
3300,2015-07-25,cat food
3300,2015-07-25,newspapers
3331,2015-07-25,waffles
3331,2015-07-25,whole milk
3331,2015-07-25,shopping bags
3331,2015-07-25,flour
3331,2015-07-25,shopping bags
3419,2015-07-25,tropical fruit
3419,2015-07-25,pot plants
3438,2015-07-25,liquor
3438,2015-07-25,Instant food products
3508,2015-07-25,dessert
3508,2015-07-25,curd
3661,2015-07-25,pip fruit
3661,2015-07-25,citrus fruit
3661,2015-07-25,other vegetables
3661,2015-07-25,white wine
3661,2015-07-25,frozen vegetables
3982,2015-07-25,sausage
3982,2015-07-25,yogurt
3986,2015-07-25,tropical fruit
3986,2015-07-25,curd
3986,2015-07-25,whole milk
3986,2015-07-25,other vegetables
4298,2015-07-25,butter
4298,2015-07-25,whole milk
4298,2015-07-25,root vegetables
4298,2015-07-25,butter
4485,2015-07-25,root vegetables
4485,2015-07-25,beef
4485,2015-07-25,whole milk
4485,2015-07-25,curd
4645,2015-07-25,domestic eggs
4645,2015-07-25,whole milk
4645,2015-07-25,fruit/vegetable juice
1497,2015-07-26,shopping bags
1497,2015-07-26,butter milk
1660,2015-07-26,beef
1660,2015-07-26,specialty chocolate
1854,2015-07-26,other vegetables
1854,2015-07-26,newspapers
1908,2015-07-26,ice cream
1908,2015-07-26,butter
2060,2015-07-26,pip fruit
2060,2015-07-26,specialty fat
2294,2015-07-26,chocolate
2294,2015-07-26,citrus fruit
2294,2015-07-26,bottled beer
2294,2015-07-26,bottled water
2294,2015-07-26,red/blush wine
3135,2015-07-26,yogurt
3135,2015-07-26,onions
3330,2015-07-26,hamburger meat
3330,2015-07-26,chewing gum
3330,2015-07-26,curd
3622,2015-07-26,soda
3622,2015-07-26,cake bar
3790,2015-07-26,sausage
3790,2015-07-26,domestic eggs
3790,2015-07-26,sweet spreads
4035,2015-07-26,yogurt
4035,2015-07-26,frozen dessert
4103,2015-07-26,chicken
4103,2015-07-26,whole milk
4166,2015-07-26,bottled beer
4166,2015-07-26,yogurt
4166,2015-07-26,pastry
4166,2015-07-26,butter
4166,2015-07-26,shopping bags
4387,2015-07-26,canned beer
4387,2015-07-26,brown bread
4808,2015-07-26,meat
4808,2015-07-26,fish
4808,2015-07-26,meat spreads
4808,2015-07-26,abrasive cleaner
4808,2015-07-26,margarine
4898,2015-07-26,sausage
4898,2015-07-26,flour
1092,2015-07-27,rolls/buns
1092,2015-07-27,grapes
1092,2015-07-27,bottled beer
1092,2015-07-27,sausage
1092,2015-07-27,salty snack
1092,2015-07-27,Instant food products
1092,2015-07-27,domestic eggs
1092,2015-07-27,bottled water
1118,2015-07-27,ham
1118,2015-07-27,yogurt
1298,2015-07-27,bottled beer
1298,2015-07-27,Instant food products
1505,2015-07-27,shopping bags
1505,2015-07-27,beef
1505,2015-07-27,citrus fruit
1505,2015-07-27,cat food
2466,2015-07-27,beef
2466,2015-07-27,other vegetables
2538,2015-07-27,other vegetables
2538,2015-07-27,seasonal products
2538,2015-07-27,bottled water
2671,2015-07-27,chewing gum
2671,2015-07-27,sugar
2759,2015-07-27,yogurt
2759,2015-07-27,rolls/buns
3058,2015-07-27,sausage
3058,2015-07-27,butter
3501,2015-07-27,rolls/buns
3501,2015-07-27,UHT-milk
3730,2015-07-27,candy
3730,2015-07-27,other vegetables
3973,2015-07-27,curd
3973,2015-07-27,coffee
4070,2015-07-27,sausage
4070,2015-07-27,other vegetables
4104,2015-07-27,other vegetables
4104,2015-07-27,whipped/sour cream
4104,2015-07-27,whole milk
4104,2015-07-27,sugar
4133,2015-07-27,root vegetables
4133,2015-07-27,semi-finished bread
4153,2015-07-27,bottled water
4153,2015-07-27,rolls/buns
4453,2015-07-27,chicken
4453,2015-07-27,soda
4566,2015-07-27,frankfurter
4566,2015-07-27,pastry
4569,2015-07-27,sausage
4569,2015-07-27,sausage
4569,2015-07-27,pip fruit
4569,2015-07-27,sliced cheese
4569,2015-07-27,root vegetables
4569,2015-07-27,butter milk
4929,2015-07-27,rolls/buns
4929,2015-07-27,grapes
4929,2015-07-27,potato products
1096,2015-07-28,pip fruit
1096,2015-07-28,fruit/vegetable juice
1357,2015-07-28,ham
1357,2015-07-28,brown bread
1409,2015-07-28,sausage
1409,2015-07-28,tropical fruit
1583,2015-07-28,frankfurter
1583,2015-07-28,sausage
1583,2015-07-28,pastry
1583,2015-07-28,newspapers
1583,2015-07-28,newspapers
1583,2015-07-28,honey
1651,2015-07-28,beef
1651,2015-07-28,chicken
1705,2015-07-28,frozen fish
1705,2015-07-28,whole milk
2032,2015-07-28,pork
2032,2015-07-28,tropical fruit
2032,2015-07-28,dessert
2032,2015-07-28,meat spreads
2032,2015-07-28,whole milk
2171,2015-07-28,citrus fruit
2171,2015-07-28,butter
2188,2015-07-28,hamburger meat
2188,2015-07-28,pip fruit
2188,2015-07-28,rolls/buns
2188,2015-07-28,dishes
2495,2015-07-28,nuts/prunes
2495,2015-07-28,butter
2495,2015-07-28,soda
2495,2015-07-28,bottled beer
2910,2015-07-28,turkey
2910,2015-07-28,root vegetables
2910,2015-07-28,frozen meals
2910,2015-07-28,soda
2910,2015-07-28,spread cheese
3023,2015-07-28,rolls/buns
3023,2015-07-28,root vegetables
3023,2015-07-28,bottled beer
3023,2015-07-28,yogurt
3023,2015-07-28,pickled vegetables
3295,2015-07-28,root vegetables
3295,2015-07-28,sausage
3295,2015-07-28,hamburger meat
3295,2015-07-28,rum
3295,2015-07-28,house keeping products
3812,2015-07-28,whole milk
3812,2015-07-28,frozen potato products
3840,2015-07-28,liqueur
3840,2015-07-28,yogurt
3878,2015-07-28,frankfurter
3878,2015-07-28,pork
3878,2015-07-28,tropical fruit
3878,2015-07-28,pastry
4296,2015-07-28,tropical fruit
4296,2015-07-28,chicken
4296,2015-07-28,waffles
4313,2015-07-28,frankfurter
4313,2015-07-28,shopping bags
4437,2015-07-28,pork
4437,2015-07-28,soft cheese
4437,2015-07-28,rolls/buns
4437,2015-07-28,butter milk
4437,2015-07-28,butter
4548,2015-07-28,herbs
4548,2015-07-28,root vegetables
4551,2015-07-28,chicken
4551,2015-07-28,artif. sweetener
4857,2015-07-28,citrus fruit
4857,2015-07-28,tropical fruit
4881,2015-07-28,yogurt
4881,2015-07-28,chewing gum
4881,2015-07-28,whipped/sour cream
4881,2015-07-28,shopping bags
4943,2015-07-28,sausage
4943,2015-07-28,soda
1407,2015-07-29,white wine
1407,2015-07-29,ham
1407,2015-07-29,whole milk
1407,2015-07-29,coffee
1407,2015-07-29,bottled water
1474,2015-07-29,frankfurter
1474,2015-07-29,Instant food products
1874,2015-07-29,frozen vegetables
1874,2015-07-29,yogurt
1875,2015-07-29,coffee
1875,2015-07-29,butter milk
1917,2015-07-29,chicken
1917,2015-07-29,herbs
2110,2015-07-29,frankfurter
2110,2015-07-29,tropical fruit
2110,2015-07-29,frozen meals
2110,2015-07-29,soda
2234,2015-07-29,canned beer
2234,2015-07-29,sausage
2234,2015-07-29,pork
2234,2015-07-29,whipped/sour cream
2234,2015-07-29,margarine
2234,2015-07-29,pickled vegetables
2234,2015-07-29,pastry
2265,2015-07-29,other vegetables
2265,2015-07-29,chewing gum
2446,2015-07-29,chicken
2446,2015-07-29,tropical fruit
2792,2015-07-29,condensed milk
2792,2015-07-29,frankfurter
2792,2015-07-29,berries
2792,2015-07-29,whole milk
2792,2015-07-29,liver loaf
2792,2015-07-29,sliced cheese
2792,2015-07-29,domestic eggs
2792,2015-07-29,rolls/buns
2792,2015-07-29,frozen fish
2842,2015-07-29,sausage
2842,2015-07-29,whole milk
3141,2015-07-29,root vegetables
3141,2015-07-29,whole milk
3312,2015-07-29,meat
3312,2015-07-29,whole milk
3677,2015-07-29,pastry
3677,2015-07-29,rolls/buns
3689,2015-07-29,liqueur
3689,2015-07-29,whole milk
3689,2015-07-29,onions
3689,2015-07-29,soda
4291,2015-07-29,citrus fruit
4291,2015-07-29,citrus fruit
4694,2015-07-29,ice cream
4694,2015-07-29,whole milk
1108,2015-07-30,brown bread
1108,2015-07-30,whole milk
1108,2015-07-30,shopping bags
1264,2015-07-30,sausage
1264,2015-07-30,other vegetables
1264,2015-07-30,tropical fruit
1264,2015-07-30,mayonnaise
2091,2015-07-30,citrus fruit
2091,2015-07-30,onions
2208,2015-07-30,pork
2208,2015-07-30,root vegetables
2208,2015-07-30,hamburger meat
2208,2015-07-30,frankfurter
2208,2015-07-30,coffee
2208,2015-07-30,curd
2208,2015-07-30,cake bar
2208,2015-07-30,soda
2476,2015-07-30,butter milk
2476,2015-07-30,canned beer
2599,2015-07-30,specialty chocolate
2599,2015-07-30,white wine
2599,2015-07-30,nuts/prunes
2599,2015-07-30,cream cheese
2599,2015-07-30,cake bar
2599,2015-07-30,yogurt
2599,2015-07-30,frozen vegetables
3132,2015-07-30,chicken
3132,2015-07-30,yogurt
3132,2015-07-30,waffles
3256,2015-07-30,pork
3256,2015-07-30,soda
3465,2015-07-30,sausage
3465,2015-07-30,other vegetables
3519,2015-07-30,sausage
3519,2015-07-30,hamburger meat
3519,2015-07-30,other vegetables
3600,2015-07-30,pip fruit
3600,2015-07-30,meat
3600,2015-07-30,frozen vegetables
3600,2015-07-30,bottled water
3911,2015-07-30,sausage
3911,2015-07-30,dessert
3929,2015-07-30,specialty cheese
3929,2015-07-30,yogurt
4372,2015-07-30,meat
4372,2015-07-30,pork
4372,2015-07-30,other vegetables
4372,2015-07-30,other vegetables
4372,2015-07-30,root vegetables
4372,2015-07-30,other vegetables
4372,2015-07-30,pip fruit
4372,2015-07-30,margarine
4450,2015-07-30,UHT-milk
4450,2015-07-30,condensed milk
4450,2015-07-30,pastry
4548,2015-07-30,sausage
4548,2015-07-30,specialty bar
4795,2015-07-30,sausage
4795,2015-07-30,sliced cheese
1010,2015-07-31,pip fruit
1010,2015-07-31,candles
1010,2015-07-31,rolls/buns
1212,2015-07-31,root vegetables
